step,type,amount,oldbalanceOrg,newbalanceOrig,amount_ratio,new_device,location_anomaly,velocity_5m,velocity_1h,account_age_days,fraud_incidents,hour_of_day,risky_network_links,isFraud
293,PAYMENT,1319.2,5751.76,4432.56,1.41,0,1,0,0,2385,0,5,0,0
383,PAYMENT,10093.75,136763.5,126669.75,1.51,0,0,0,1,2149,0,23,0,0
580,PAYMENT,7543.7,70197.53,62653.83,0.93,0,0,1,3,2181,0,4,0,0
140,CASH_OUT,337055.66,378504.29,41448.63,17.98,1,1,4,13,74,1,20,1,1
139,PAYMENT,17551.94,164522.38,146970.44,0.92,0,1,0,1,938,0,19,0,0
100,TRANSFER,5129.28,6901.94,1772.66,1.05,0,1,1,3,937,0,4,0,0
660,PAYMENT,18823.88,162222.45,143398.57,0.7,0,1,0,0,1453,0,12,0,0
242,CASH_OUT,18583.72,173039.57,154455.85,1.47,0,0,0,3,694,0,2,0,0
132,TRANSFER,21870.43,110164.25,88293.82,1.28,0,1,1,3,1631,0,12,0,0
326,PAYMENT,16897.48,209925.41,193027.93,2.0,1,0,1,1,560,0,14,0,0
238,TRANSFER,16357.76,235214.07,218856.31,1.18,1,0,0,0,2352,0,22,0,0
714,TRANSFER,148426.64,122631.9,0.0,10.1,1,1,5,14,56,0,18,1,1
473,TRANSFER,74211.38,80094.55,5883.17,6.5,0,1,5,10,42,1,17,1,1
2,TRANSFER,50493.23,50658.19,164.96,10.6,0,1,4,10,78,1,2,4,1
394,CASH_OUT,8130.01,36345.3,28215.29,1.11,1,0,0,0,1890,0,10,0,0
246,PAYMENT,11573.16,127196.63,115623.47,0.42,0,0,0,1,448,0,6,0,0
67,TRANSFER,4789.22,7350.69,2561.47,0.33,0,0,0,0,331,0,19,0,0
423,DEBIT,218.06,2826.46,2608.4,1.4,1,0,0,3,1959,0,15,0,0
217,CASH_OUT,22977.96,170426.57,147448.61,1.37,1,1,0,1,1867,0,1,0,0
605,PAYMENT,15058.27,61849.5,46791.23,0.97,1,0,0,3,305,0,5,0,0
547,TRANSFER,57613.66,49904.67,0.0,14.02,0,0,4,13,148,0,19,1,1
662,CASH_OUT,3678.59,39486.08,35807.49,0.46,0,1,1,0,2480,0,14,0,0
687,TRANSFER,447233.83,462375.17,15141.34,5.34,1,0,2,12,75,1,15,1,1
462,DEBIT,14904.73,77461.33,62556.6,1.49,0,1,1,0,163,0,6,0,0
117,CASH_OUT,21859.82,101122.14,79262.32,1.38,0,0,1,1,1908,0,21,0,0
504,DEBIT,18984.71,280394.62,261409.91,0.98,0,1,1,3,149,0,0,0,0
267,PAYMENT,10258.24,24697.74,14439.5,1.97,0,0,0,2,1235,0,3,0,0
111,CASH_OUT,5068.6,66093.84,61025.24,2.02,0,0,0,1,1238,0,15,0,0
479,PAYMENT,9538.41,79040.71,69502.3,1.66,0,0,1,3,2380,0,23,0,0
424,CASH_OUT,396229.02,443474.96,47245.94,4.95,0,1,3,9,134,1,16,1,1
735,CASH_OUT,18010.88,242016.48,224005.6,0.93,0,0,0,2,1479,0,15,0,0
432,TRANSFER,23391.0,177776.27,154385.27,0.51,0,0,0,1,1057,0,0,0,0
247,TRANSFER,17145.6,99765.8,82620.2,2.11,0,0,0,0,1245,0,7,0,0
560,CASH_OUT,5131.99,18896.75,13764.76,1.2,0,0,0,1,737,0,8,0,0
7,TRANSFER,433732.94,460193.98,26461.04,10.68,0,1,3,7,25,0,7,2,1
569,DEBIT,24615.76,363203.0,338587.24,2.1,1,0,0,1,447,0,17,0,0
166,PAYMENT,2514.75,32331.08,29816.33,1.4,0,0,1,0,314,0,22,0,0
189,TRANSFER,14647.27,165782.18,151134.91,0.72,1,1,0,3,1083,0,21,0,0
23,DEBIT,5249.66,74478.97,69229.31,0.35,0,1,1,0,1036,0,23,0,0
197,DEBIT,10397.84,76455.78,66057.94,0.62,0,1,1,0,2146,0,5,0,0
556,CASH_OUT,13318.17,60635.62,47317.45,0.61,0,0,0,3,296,0,4,0,0
660,CASH_OUT,12316.14,104237.22,91921.08,1.23,0,1,0,1,433,0,12,0,0
136,PAYMENT,12102.57,173666.52,161563.95,0.44,0,0,1,0,511,0,16,0,0
189,TRANSFER,416739.36,386989.67,0.0,12.32,1,1,5,16,72,1,21,3,1
624,PAYMENT,20475.87,233597.8,213121.93,1.08,1,0,1,3,1742,0,0,0,0
254,CASH_OUT,367782.81,385834.88,18052.07,14.39,1,1,7,17,38,0,14,4,1
214,DEBIT,157.49,2347.83,2190.34,0.69,1,0,0,1,2018,0,22,0,0
96,DEBIT,9883.89,137521.97,127638.08,0.77,0,0,1,2,1217,0,0,0,0
490,PAYMENT,11872.32,169843.62,157971.3,0.82,0,0,0,2,2467,0,10,0,0
629,CASH_OUT,406995.08,447632.5,40637.42,17.88,1,1,5,14,119,0,5,2,1
531,CASH_OUT,18488.92,123943.23,105454.31,1.28,0,0,1,2,1845,0,3,0,0
674,TRANSFER,8624.82,58419.16,49794.34,1.02,0,0,0,3,338,0,2,0,0
98,DEBIT,16606.45,22829.78,6223.33,0.79,1,0,0,3,2356,0,2,0,0
640,PAYMENT,3321.13,16355.3,13034.17,0.39,0,0,0,1,1725,0,16,0,0
551,CASH_OUT,13597.77,147526.78,133929.01,2.1,0,0,1,1,852,0,23,0,0
465,DEBIT,10051.94,106826.44,96774.5,0.15,1,0,0,2,2202,0,9,0,0
270,PAYMENT,23404.84,303569.73,280164.89,0.78,1,0,1,1,1173,0,6,0,0
470,PAYMENT,22825.53,318230.24,295404.71,1.87,0,1,1,0,1893,0,14,0,0
174,DEBIT,12067.13,89835.99,77768.86,0.6,0,0,1,1,846,0,6,0,0
192,CASH_OUT,5549.53,69053.79,63504.26,1.91,0,0,0,1,137,0,0,0,0
338,DEBIT,20995.43,63464.44,42469.01,1.73,0,0,0,1,1192,0,2,0,0
742,PAYMENT,10627.73,103231.31,92603.58,2.06,0,0,1,2,285,0,22,0,0
438,DEBIT,6838.74,91635.03,84796.29,1.49,0,0,1,3,1490,0,6,0,0
132,PAYMENT,12569.08,133705.66,121136.58,1.47,0,0,1,0,2498,0,12,0,0
79,TRANSFER,18223.3,267438.42,249215.12,0.77,0,0,0,1,619,0,7,0,0
39,DEBIT,19707.85,249628.87,229921.02,1.82,0,1,0,1,885,0,15,0,0
531,PAYMENT,12332.31,166648.12,154315.81,0.4,0,1,1,0,895,0,3,0,0
115,CASH_OUT,1414.9,1566.59,151.69,1.02,0,1,1,0,202,0,19,0,0
555,PAYMENT,4283.22,13455.33,9172.11,1.91,0,1,1,2,1202,0,3,0,0
609,TRANSFER,345119.02,311635.84,0.0,14.41,1,1,5,12,135,2,9,2,1
306,CASH_OUT,5288.65,61061.28,55772.63,0.35,1,0,0,0,506,0,18,0,0
131,TRANSFER,24760.67,74461.19,49700.52,1.47,0,0,0,3,1055,0,11,0,0
709,PAYMENT,21834.19,82379.95,60545.76,0.56,0,0,1,1,719,0,13,0,0
546,DEBIT,20730.82,227549.89,206819.07,0.16,0,0,0,3,1551,0,18,0,0
461,CASH_OUT,10524.54,122452.53,111927.99,1.84,0,0,0,1,1915,0,5,0,0
202,TRANSFER,14145.97,148610.04,134464.07,0.24,0,0,0,0,625,0,10,0,0
575,DEBIT,4381.81,59043.44,54661.63,1.09,1,0,1,3,1249,0,23,0,0
45,PAYMENT,4967.61,52385.56,47417.95,0.55,0,1,0,1,612,0,21,0,0
388,TRANSFER,3453.83,45099.83,41646.0,0.77,0,0,0,0,1369,0,4,0,0
266,PAYMENT,5214.22,70122.29,64908.07,2.05,0,0,0,3,375,0,2,0,0
342,CASH_OUT,98787.59,112711.99,13924.4,14.44,1,0,6,13,26,2,6,2,1
33,TRANSFER,23721.27,216299.25,192577.98,1.79,0,1,0,3,2449,0,9,0,0
395,PAYMENT,24275.03,155170.36,130895.33,0.93,1,0,0,0,1677,0,11,0,0
239,PAYMENT,21667.0,201323.33,179656.33,0.85,0,0,0,1,1147,0,23,0,0
282,PAYMENT,23326.21,152593.97,129267.76,0.79,0,0,1,2,1033,0,18,0,0
344,CASH_OUT,8085.82,47752.09,39666.27,0.9,0,0,0,1,515,0,8,0,0
720,CASH_OUT,5442.02,48549.06,43107.04,1.69,0,0,1,3,2430,0,0,0,0
690,TRANSFER,1409.14,20070.0,18660.86,0.92,0,0,1,3,1497,0,18,0,0
459,TRANSFER,322167.52,330243.36,8075.84,3.88,1,0,3,13,43,1,3,1,1
347,CASH_OUT,182286.43,209903.82,27617.39,8.91,0,0,5,7,49,2,11,1,1
112,PAYMENT,13458.55,195408.48,181949.93,2.12,1,1,1,0,2335,0,16,0,0
442,PAYMENT,2617.54,32385.21,29767.67,1.11,0,0,1,2,2457,0,10,0,0
677,PAYMENT,9312.61,64302.72,54990.11,0.35,1,1,0,3,283,0,5,0,0
212,DEBIT,696.86,5807.88,5111.02,1.07,1,0,1,2,508,0,20,0,0
85,CASH_OUT,15506.0,25698.41,10192.41,1.07,1,0,1,0,1184,0,13,0,0
104,PAYMENT,2510.57,35820.17,33309.6,0.95,0,0,1,1,2439,0,8,0,0
433,CASH_OUT,398563.63,419964.02,21400.39,9.72,1,1,4,6,37,1,1,2,1
739,DEBIT,17674.35,93577.41,75903.06,2.0,0,0,0,1,2347,0,19,0,0
678,TRANSFER,1589.63,20192.17,18602.54,0.43,0,0,0,3,2193,0,6,0,0
422,DEBIT,1671.62,24348.24,22676.62,0.75,0,1,0,2,800,0,14,0,0
149,TRANSFER,21695.85,237331.56,215635.71,1.84,0,1,1,3,981,0,5,0,0
701,PAYMENT,13687.32,118458.13,104770.81,1.99,1,0,1,1,1797,0,5,0,0
340,PAYMENT,9719.9,59546.31,49826.41,0.92,0,0,1,0,1472,0,4,0,0
580,TRANSFER,15344.3,24381.27,9036.97,0.43,1,1,0,1,2442,0,4,0,0
285,PAYMENT,23410.81,343740.43,320329.62,0.6,0,0,0,0,2340,0,21,0,0
48,TRANSFER,22819.98,195506.58,172686.6,1.41,0,1,0,2,2025,0,0,0,0
485,PAYMENT,23726.19,140834.41,117108.22,0.29,0,0,0,1,1597,0,5,0,0
703,CASH_OUT,13557.87,49364.77,35806.9,0.77,1,0,1,0,1721,0,7,0,0
601,CASH_OUT,18075.48,62312.24,44236.76,2.07,1,0,1,0,1521,0,1,0,0
370,TRANSFER,10973.02,163804.44,152831.42,1.12,0,0,0,3,1123,0,10,0,0
546,CASH_OUT,141187.11,148958.56,7771.45,4.24,1,0,2,8,89,2,18,2,1
354,CASH_OUT,309273.49,344129.48,34855.99,9.71,0,1,6,9,154,2,18,3,1
324,DEBIT,16829.17,243217.84,226388.67,0.88,0,0,1,3,999,0,12,0,0
376,PAYMENT,5465.83,62629.3,57163.47,0.38,0,0,0,1,1611,0,16,0,0
167,PAYMENT,6887.4,18176.31,11288.91,2.11,1,0,0,0,1060,0,23,0,0
217,TRANSFER,19037.6,208335.88,189298.28,0.47,1,1,0,3,1258,0,1,0,0
290,CASH_OUT,7777.5,22314.73,14537.23,1.26,1,0,0,0,1126,0,2,0,0
358,PAYMENT,20395.32,149508.81,129113.49,1.82,0,0,0,1,978,0,22,0,0
172,PAYMENT,9862.29,43876.21,34013.92,1.68,0,0,0,1,989,0,4,0,0
98,DEBIT,9294.89,40714.98,31420.09,1.7,0,0,1,1,1305,0,2,0,0
18,PAYMENT,24970.86,240416.42,215445.56,1.97,1,1,1,3,973,0,18,0,0
343,CASH_OUT,240880.25,240332.44,0.0,9.41,1,1,5,14,99,1,7,4,1
530,TRANSFER,367201.99,418292.55,51090.56,17.92,0,0,2,12,29,0,2,1,1
299,PAYMENT,23476.25,138287.05,114810.8,1.27,0,0,0,0,524,0,11,0,0
555,TRANSFER,23737.41,159041.28,135303.87,1.85,0,0,1,0,1880,0,3,0,0
131,PAYMENT,22840.8,69590.67,46749.87,1.52,0,1,1,1,679,0,11,0,0
255,PAYMENT,6688.48,47330.38,40641.9,1.01,0,0,1,3,1567,0,15,0,0
574,DEBIT,5405.57,6269.65,864.08,1.3,1,0,1,3,211,0,22,0,0
667,PAYMENT,20267.52,47379.05,27111.53,0.93,0,0,0,1,683,0,19,0,0
141,PAYMENT,12037.49,157440.98,145403.49,1.45,0,0,1,0,2459,0,21,0,0
485,PAYMENT,23091.34,104319.07,81227.73,1.63,0,1,1,0,1105,0,5,0,0
348,TRANSFER,11649.32,59680.32,48031.0,1.77,0,0,1,2,2030,0,12,0,0
447,CASH_OUT,6442.74,19180.23,12737.49,2.08,0,0,1,0,1078,0,15,0,0
630,CASH_OUT,4132.35,41263.91,37131.56,1.74,0,0,0,1,2303,0,6,0,0
185,PAYMENT,5768.76,10397.9,4629.14,1.92,0,0,0,2,1399,0,17,0,0
565,TRANSFER,23468.94,263425.05,239956.11,1.03,1,0,1,0,1375,0,13,0,0
35,PAYMENT,18758.89,95692.53,76933.64,0.35,1,0,0,2,1720,0,11,0,0
376,PAYMENT,19693.6,271630.62,251937.02,0.62,0,1,1,1,1733,0,16,0,0
592,TRANSFER,19901.28,287627.34,267726.06,1.62,1,1,0,3,1053,0,16,0,0
262,DEBIT,24667.06,59297.85,34630.79,0.97,0,0,1,0,796,0,22,0,0
447,CASH_OUT,24501.47,327855.76,303354.29,0.73,0,1,0,1,680,0,15,0,0
451,PAYMENT,708.83,2948.87,2240.04,1.6,1,0,1,2,1299,0,19,0,0
337,TRANSFER,396040.09,321725.99,0.0,9.25,1,0,8,10,65,2,1,3,1
192,CASH_OUT,22154.06,90861.66,68707.6,1.22,0,0,1,3,704,0,0,0,0
303,TRANSFER,23967.03,262899.98,238932.95,1.43,0,0,1,2,364,0,15,0,0
354,TRANSFER,5118.22,68809.43,63691.21,1.8,0,0,0,3,1497,0,18,0,0
196,PAYMENT,22582.03,314214.84,291632.81,0.8,1,0,0,0,436,0,4,0,0
67,CASH_OUT,24746.59,52695.43,27948.84,0.38,0,0,1,2,1500,0,19,0,0
28,DEBIT,22066.16,220103.3,198037.14,1.2,1,0,0,1,1796,0,4,0,0
258,TRANSFER,19934.64,94166.9,74232.26,0.42,0,1,0,3,2124,0,18,0,0
709,DEBIT,21424.6,46719.57,25294.97,1.71,0,0,1,0,1196,0,13,0,0
512,TRANSFER,14263.96,73155.49,58891.53,1.26,0,0,1,1,1572,0,8,0,0
688,TRANSFER,17369.16,182011.95,164642.79,1.53,0,0,1,1,242,0,16,0,0
304,CASH_OUT,226385.05,248381.19,21996.14,6.94,1,0,7,13,98,0,16,4,1
402,PAYMENT,15531.01,217415.37,201884.36,1.13,1,0,1,2,2496,0,18,0,0
548,TRANSFER,242636.64,283563.13,40926.49,10.66,1,1,5,16,173,1,20,2,1
317,CASH_OUT,2470.17,2736.69,266.52,1.01,0,1,1,2,1808,0,5,0,0
24,PAYMENT,23532.8,80632.16,57099.36,1.42,0,0,0,1,1646,0,0,0,0
216,DEBIT,5843.91,80006.09,74162.18,1.15,0,1,0,3,976,0,0,0,0
743,DEBIT,6335.78,30119.74,23783.96,1.32,0,1,1,0,2476,0,23,0,0
254,DEBIT,21513.27,302643.84,281130.57,0.53,0,0,1,3,655,0,14,0,0
226,CASH_OUT,24627.66,337272.96,312645.3,1.78,1,1,0,0,883,0,10,0,0
60,PAYMENT,12687.02,126232.26,113545.24,0.96,0,0,1,1,1129,0,12,0,0
246,PAYMENT,21277.97,155399.92,134121.95,0.58,0,0,1,3,1438,0,6,0,0
726,TRANSFER,120800.56,128332.37,7531.81,7.49,0,1,2,4,166,1,6,4,1
17,TRANSFER,15203.5,110699.17,95495.67,1.03,0,0,0,1,2030,0,17,0,0
94,TRANSFER,4547.24,62134.71,57587.47,1.25,0,0,1,0,2043,0,22,0,0
491,TRANSFER,23833.39,189892.16,166058.77,0.73,0,1,0,3,976,0,11,0,0
546,TRANSFER,8870.09,97469.78,88599.69,0.14,0,0,1,2,709,0,18,0,0
454,PAYMENT,17821.47,45068.5,27247.03,1.1,1,0,1,2,704,0,22,0,0
643,TRANSFER,231957.76,223971.95,0.0,6.06,1,0,5,16,79,0,19,3,1
691,TRANSFER,430771.52,346693.86,0.0,14.56,0,0,8,11,163,0,19,4,1
587,TRANSFER,21259.75,204778.44,183518.69,1.39,0,0,1,2,1314,0,11,0,0
115,DEBIT,18271.54,235717.48,217445.94,1.09,0,0,1,2,863,0,19,0,0
97,DEBIT,9287.81,32784.32,23496.51,0.56,0,0,1,3,1360,0,1,0,0
546,PAYMENT,9517.19,123142.33,113625.14,0.61,1,0,1,1,2325,0,18,0,0
71,DEBIT,24684.08,78824.07,54139.99,0.29,0,0,1,1,858,0,23,0,0
53,DEBIT,7199.55,41448.9,34249.35,1.88,1,0,1,1,2125,0,5,0,0
596,PAYMENT,16304.79,44202.19,27897.4,1.96,0,0,0,0,764,0,20,0,0
114,TRANSFER,7236.18,22020.04,14783.86,1.03,0,0,0,2,1362,0,18,0,0
317,TRANSFER,15398.21,96926.81,81528.6,1.47,1,0,0,0,1196,0,5,0,0
185,CASH_OUT,20276.53,128795.37,108518.84,1.21,0,0,1,0,171,0,17,0,0
563,CASH_OUT,10589.88,26411.11,15821.23,1.74,1,1,0,0,2452,0,11,0,0
447,PAYMENT,19710.13,194927.97,175217.84,2.05,0,1,1,2,220,0,15,0,0
714,PAYMENT,3753.91,21676.48,17922.57,2.17,0,0,0,1,364,0,18,0,0
627,TRANSFER,24453.34,188309.99,163856.65,0.37,0,0,0,2,2370,0,3,0,0
587,PAYMENT,2358.47,16482.89,14124.42,2.05,0,0,1,3,2438,0,11,0,0
193,DEBIT,11261.48,56137.06,44875.58,1.9,1,1,0,1,1383,0,1,0,0
169,TRANSFER,7604.88,11649.67,4044.79,0.92,0,0,1,2,1220,0,1,0,0
135,CASH_OUT,8944.92,53214.79,44269.87,1.61,0,0,0,2,979,0,15,0,0
42,PAYMENT,5424.39,73832.83,68408.44,0.82,0,0,1,1,1437,0,18,0,0
93,DEBIT,3355.72,41330.81,37975.09,2.07,0,0,1,0,1810,0,21,0,0
510,PAYMENT,8604.3,28942.34,20338.04,1.19,1,0,1,0,1189,0,6,0,0
456,TRANSFER,155829.71,127129.63,0.0,5.07,0,0,3,8,50,2,0,1,1
203,TRANSFER,9527.66,61489.91,51962.25,0.81,0,0,0,0,1558,0,11,0,0
19,CASH_OUT,24771.16,346957.6,322186.44,1.16,1,1,1,3,868,0,19,0,0
51,DEBIT,21122.38,286155.73,265033.35,1.01,0,1,1,3,1939,0,3,0,0
230,PAYMENT,24857.3,293422.06,268564.76,0.3,0,0,1,0,201,0,14,0,0
550,DEBIT,15100.02,196456.69,181356.67,0.31,1,0,1,1,2147,0,22,0,0
32,PAYMENT,9879.1,69241.89,59362.79,1.95,0,0,0,3,2247,0,8,0,0
563,CASH_OUT,12612.55,87110.24,74497.69,0.64,0,0,0,0,1944,0,11,0,0
262,PAYMENT,20615.42,96241.7,75626.28,2.14,0,0,1,1,2422,0,22,0,0
124,TRANSFER,13208.86,45738.34,32529.48,1.82,0,0,0,1,515,0,4,0,0
691,TRANSFER,338416.22,278699.1,0.0,12.17,1,1,7,9,13,1,19,3,1
52,DEBIT,3055.07,43152.91,40097.84,1.98,0,0,0,1,407,0,4,0,0
437,PAYMENT,3991.65,10169.55,6177.9,2.2,0,1,0,1,2196,0,5,0,0
573,PAYMENT,2285.21,6135.48,3850.27,2.05,0,1,0,1,896,0,21,0,0
264,DEBIT,4832.13,65656.17,60824.04,0.63,0,0,1,2,279,0,0,0,0
87,CASH_OUT,185606.34,197148.04,11541.7,4.86,0,0,8,17,72,2,15,2,1
102,PAYMENT,13475.6,70429.85,56954.25,0.23,0,0,0,2,725,0,6,0,0
140,TRANSFER,6621.22,64984.87,58363.65,0.92,0,0,1,2,2494,0,20,0,0
574,CASH_OUT,24158.45,201856.5,177698.05,2.01,0,1,1,1,259,0,22,0,0
736,DEBIT,24669.13,184313.69,159644.56,0.29,0,0,0,0,1796,0,16,0,0
